Metlink_Stop_ID,Boardings,Alightings,wk7am7pm
1000,,8.0,8.0
10000,4.5,9.0,13.5
10001,8.57142857143,12.2142857143,20.7857142857
10002,1.64285714286,,1.64285714286
10003,9.0,4.5,13.5
10004,1.5,3.0,4.5
10006,12.6818181818,20.5909090909,33.2727272727
10007,10.5,10.5,21.0
10008,22.5,6.0,28.5
10009,37.5,3.0,40.5
1001,2.0,11.7647058824,13.7647058824
10010,28.5,9.0,37.5
10011,19.5,,19.5
10012,12.0,4.5,16.5
10013,1.5,12.0,13.5
10014,,,0.0
10016,8.57142857143,24.0,32.5714285714
10017,,8.57142857143,8.57142857143
10018,74.217879257,133.309210526,207.527089783
10019,13.3333333333,10.6666666667,24.0
1002,2.0,50.0,52.0
10020,37.3333333333,21.3333333333,58.6666666667
10021,133.333333333,24.0,157.333333333
10022,18.6666666667,13.3333333333,32.0
10023,8.0,10.6666666667,18.6666666667
10025,,18.6666666667,18.6666666667
10026,5.33333333333,26.6666666667,32.0
10027,8.0,18.6666666667,26.6666666667
10028,10.6666666667,37.3333333333,48.0
10029,5.33333333333,16.0,21.3333333333
1003,4.0,8.0,12.0
10030,8.0,13.3333333333,21.3333333333
10031,8.0,8.0,16.0
10032,9.50724637681,56.231884058,65.7391304348
10033,62.0289855072,95.0724637681,157.101449275
10034,2.08695652174,20.7536231884,22.8405797101
10035,12.7536231884,27.9420289855,40.6956521739
10036,,29.6811594203,29.6811594203
10037,,8.92753623188,8.92753623188
10038,7.42028985507,8.92753623188,16.347826087
10039,14.8405797101,6.84057971014,21.6811594203
1004,4.0,6.0,10.0
10040,66.7826086957,68.4057971014,135.188405797
10041,25.8550724638,13.1014492754,38.9565217391
10042,38.8405797101,36.5217391304,75.3623188406
10043,77.3333333333,125.333333333,202.666666667
10044,112.0,37.3333333333,149.333333333
10045,18.6666666667,16.0,34.6666666667
10047,13.3333333333,5.33333333333,18.6666666667
10048,29.3333333333,10.6666666667,40.0
10049,32.0,,32.0
1005,22.0,10.0,32.0
10050,37.3333333333,37.3333333333,74.6666666667
10051,47.1884057971,58.8985507246,106.086956522
10052,33.2753623188,19.5942028986,52.8695652174
10053,30.6086956522,43.7101449275,74.3188405797
10054,,13.3333333333,13.3333333333
10055,53.3333333333,64.0,117.333333333
10056,11.9444444444,2.38888888889,14.3333333333
10057,,4.77777777778,4.77777777778
10058,2.38888888889,2.38888888889,4.77777777778
10059,7.16666666667,4.77777777778,11.9444444444
1006,20.0,27.8823529412,47.8823529412
