,Station,AM Peak,Interpeak,PM Peak,wk7am7pm
0,Aircraft,456.425690107,225.74054896,130.721038187,812.887277254
1,Alamein,267.239894595,114.143413406,44.1186818975,425.501989899
2,Albion,1310.76571884,485.731707267,389.188178965,2185.68560507
3,Alphington,537.959377745,241.489810459,153.019594084,932.468782288
4,Altona,400.638040252,231.197189334,170.906116263,802.74134585
5,Anstey,453.776043652,306.652866493,216.409305703,976.838215848
6,Armadale,866.786739082,381.513970586,437.373266528,1685.6739762
7,Ascot Vale,987.481205039,443.258259138,280.724595262,1711.46405944
8,Ashburton,487.340827874,236.751600969,189.405390619,913.497819463
9,Aspendale,496.647928228,221.980936524,127.979530932,846.608395685
10,Auburn,934.446347718,470.993372998,547.819488566,1953.25920928
11,Balaclava,1430.27992166,873.153018234,696.786645398,3000.21958529
12,Batman,349.459619979,251.45674237,226.989400248,827.905762597
13,Bayswater,745.709351941,373.007349861,439.275547897,1557.9922497
14,Beaconsfield,346.181736158,128.043336563,120.307591341,594.532664062
15,Belgrave,547.349042998,503.170925417,208.329371563,1258.84933998
16,Bell,514.820323721,458.908365224,358.462697208,1332.19138615
17,Bentleigh,1189.35485297,739.945272298,652.710847523,2582.01097279
18,Berwick,1113.43791548,657.417194713,757.705830103,2528.5609403
19,Blackburn,1632.29346517,1031.16369153,1439.48511488,4102.94227158
20,Bonbeach,494.020680082,278.844128482,203.547200369,976.412008933
21,Boronia,1180.79045713,582.552389319,232.773466069,1996.11631252
22,Box Hill,2836.8258866,2329.65872163,3315.36531856,8481.84992679
23,Brighton Beach,692.023088562,283.925004299,234.231847003,1210.17993986
24,Broadmeadows,528.369305,797.819080229,937.78494117,2263.9733264
25,Brunswick,278.477907041,242.412665828,251.464288581,772.354861451
26,Burnley,1042.18184341,655.646547241,819.610720678,2517.43911133
27,Burwood,573.984561961,245.421586287,147.814210229,967.220358477
28,Camberwell,1616.37444128,1496.69587718,2983.1354009,6096.20571936
29,Canterbury,512.759240286,290.348537119,367.015625139,1170.12340254
30,Cardinia Road,364.23026043,93.2530385701,63.3169694766,520.800268476
31,Carnegie,1180.40073748,747.463584033,611.472141355,2539.33646287
32,Carrum,662.524261738,454.11395171,274.12012581,1390.75833926
33,Caulfield,2521.05923955,3086.37848211,5020.92235216,10628.3600738
34,Chatham,409.837162913,173.935663239,105.181537686,688.954363838
35,Chelsea,733.43828069,712.405715792,306.22876895,1752.07276543
36,Cheltenham,1606.40548836,746.142072716,736.498638192,3089.04619927
37,Clayton,1946.16884708,1495.57512056,1316.63374256,4758.3777102
38,Clifton Hill,1177.99508041,799.220658119,637.375922459,2614.59166098
39,Coburg,789.149692473,813.209339192,477.044656741,2079.40368841
40,Collingwood,245.498712101,333.467271736,554.479346616,1133.44533045
41,Coolaroo,337.08652151,249.859131944,98.8263472225,685.772000677
