Metlink_Stop_ID,Boardings,Alightings,DailyUse
10311,321.841091156,144.157990456,465.999081612
10371,46.9351596832,3.35251140594,50.2876710892
1083,50.1777524948,16.1717457771,66.3494982719
11285,26.8200912476,6.70502281189,33.5251140594
1185,6.59510469437,79.1412570477,85.736361742
12599,56.9926939011,36.8776254654,93.8703193665
12777,,24.9881186485,24.9881186485
1291,,56.0583891869,56.0583891869
1292,7.13946247101,142.789248466,149.928710938
13401,208.596467972,114.076193333,322.672661304
13995,203.431490421,42.3185873032,245.750077724
14033,45.6304769516,140.15075016,185.781227112
14614,91.26095438,215.115107059,306.37606144
14728,482.379335403,560.603009701,1042.9823451
15559,139.802472591,42.3185873032,182.121059895
15699,117.335513115,130.372792721,247.708305836
1575,274.905932426,329.755231619,604.661164045
16610,65.1863970757,65.1863965988,130.372793674
16713,278.439031124,945.978751659,1224.41778278
16714,157.068174362,771.061929226,928.130103588
16715,35.697312355,574.726716995,610.42402935
16716,82.1038179398,356.973118305,439.076936245
16717,92.8130116463,253.450913906,346.263925552
16718,22.8152384758,74.9643549919,97.7795934677
16719,460.495322704,613.9937644,1074.4890871
16720,85.6735496521,210.614140987,296.287690639
16721,331.985002518,735.36461544,1067.34961796
16722,174.916829586,660.400268555,835.317098141
16723,192.76548481,371.252043247,564.017528057
16724,378.391505718,431.937474728,810.328980446
16725,303.427150249,571.156988621,874.58413887
16726,553.308330059,606.854298592,1160.16262865
16727,660.400265694,1013.80364799,1674.20391369
16728,207.044411182,606.854295254,813.898706436
16729,10.7091937065,35.697312355,46.4065060616
16730,171.347095966,317.706077099,489.053173065
16731,82.1038184166,917.42091465,999.524733067
16732,46.4065055847,328.415267944,374.821773529
16733,32.1275811195,135.649785519,167.777366638
16734,110.661666393,267.729838848,378.391505241
16735,449.786125183,414.08881855,863.874943733
16736,549.738598347,1192.29020262,1742.02880096
16738,97.7795929909,234.671028614,332.450621605
16739,42.3711576462,169.484630585,211.855788231
16740,29.3338780403,169.484630108,198.818508148
16741,68.4457159042,130.372791767,198.818507671
16742,16.2965989113,81.4829945564,97.7795934677
16743,48.8897967339,172.743949413,221.633746147
16744,254.226946831,101.038914204,355.265861034
16745,9.77795934677,78.223675251,88.0016345978
16746,6.51863956451,55.4084362984,61.9270758629
16747,215.115109444,371.562458992,586.677568436
16748,192.299868107,215.115110397,407.414978504
16749,29.333878994,61.9270768166,91.2609558105
16750,3.25931978226,61.9270763397,65.186396122
16751,9.77795934677,140.150750637,149.928709984
16752,6.51863956451,179.262590885,185.78123045
16753,9.77795934677,91.2609548569,101.038914204
16754,,58.6677560806,58.6677560806
16755,,9.77795934677,9.77795934677
16757,671.419882774,511.713211536,1183.13309431
16758,6.51863956451,,6.51863956451
16759,81.4829964638,19.5559186935,101.038915157
16760,68.4457159042,16.2965989113,84.7423148155
16761,176.003269672,19.5559186935,195.559188366
16762,149.928710938,48.8897967339,198.818507671
16764,29.3338785172,6.51863956451,35.8525180817
16765,52.1491165161,9.77795934677,61.9270758629
16766,81.4829945564,286.820147991,368.303142548
16767,244.448986053,192.299868584,436.748854637
16768,55.4084367752,6.51863956451,61.9270763397
16769,58.6677565575,22.8152384758,81.4829950333
16770,110.816873074,130.372792244,241.189665318
16771,130.372792244,32.5931978226,162.965990067
16772,48.8897967339,19.5559186935,68.4457154274
16773,153.18803072,42.3711571693,195.559187889
16774,91.2609548569,19.5559186935,110.81687355
16775,130.372794151,26.0745587349,156.447352886
16776,166.225309372,52.1491165161,218.374425888
16777,110.816874027,6.51863956451,117.335513592
16778,81.4829950333,6.51863956451,88.0016345978
1696,40.2301368713,3.35251140594,43.5826482773
17306,599.139088631,514.041282654,1113.18037128
17307,24.3835678101,13.9334669113,38.3170347214
17308,188.101807833,13.9334669113,202.035274744
17309,212.485372066,17.4168336391,229.902205706
17310,83.6008017063,,83.6008017063
17311,289.119443655,3.48336672783,292.602810383
17312,599.139083862,240.352307796,839.491391659
17313,849.941496134,111.467736006,961.40923214
17314,675.773158312,66.1839678288,741.957126141
17315,424.970744848,90.5675349236,515.538279772
17316,303.052908182,97.5342683792,400.587176561
17317,87.0841696262,62.7006018162,149.784771442
17318,560.822054148,397.103813171,957.925867319
17319,327.436477184,69.6673352718,397.103812456
17320,797.690991879,243.835673094,1041.52666497
17321,633.972758055,156.751504183,790.724262238
17322,313.503005743,184.61843729,498.121443033
17323,452.837684631,167.201605082,620.039289713
17324,560.822059393,289.119441509,849.941500902
17325,543.405219555,522.505019903,1065.91023946
17327,842.974761724,142.818035841,985.792797565
17328,101.01763463,13.9334669113,114.951101542
17329,435.420849562,334.40320158,769.824051142
17330,870.841698647,94.0509016514,964.892600298
17331,243.835674524,48.7671349049,292.602809429
17332,233.385574341,20.900200367,254.285774708
17333,188.101806879,66.1839678288,254.285774708
17334,404.070547581,411.037279606,815.107827187
17335,961.409234762,877.80842638,1839.21766114
17591,3030.18678522,1250.57841015,4280.76519537
17593,5384.16276717,5362.20112085,10746.363888
17594,6252.94324017,3180.04953742,9432.99277759
17596,1617.52270293,2873.81686997,4491.33957291
17597,1580.37761235,3406.8258872,4987.20349956
17602,127.113472462,68.4457159042,195.559188366
17603,391.118378162,495.416615963,886.534994125
17604,169.484630585,84.742316246,254.226946831
17605,42.3711571693,22.8152389526,65.186396122
17606,84.7423143387,140.15075016,224.893064499
1784,21.418387413,189.195755005,210.614142418
17848,1845.09043598,6978.63927746,8823.72971344
17849,4765.352005,590.295671701,5355.64767671
17850,9516.77021027,,9516.77021027
17851,3471.72187471,236.127641678,3707.84951639
17852,5080.11606121,1485.33563232,6565.45169353
17853,2684.4018321,1301.7409749,3986.14280701
17854,5910.78206635,2022.67912102,7933.46118736
17855,973.989634037,1440.5502553,2414.53988934
17856,1898.28190994,2864.94854641,4763.23045635
17857,98.3907165527,295.172149658,393.562866211
17858,52.709312439,274.088424683,326.797737122
17859,140.558166504,372.479141235,513.037307739
17860,84.3348999023,628.997795105,713.332695007
17861,618.75818634,139.046783447,757.804969788
17862,215.522514343,76.475730896,291.998245239
17863,132.094444275,38.237865448,170.332309723
17864,166.856140137,201.617839813,368.47397995
17865,324.766367912,694.521426201,1019.28779411
17866,192.499189377,362.270129204,554.769318581
17867,860.305204868,1756.30771208,2616.61291695
17868,1045.01003551,947.475769043,1992.48580456
17869,193.053367138,133.438495874,326.491863012
17870,670.70284009,502.828309774,1173.53114986
17871,2775.38144588,1378.76369143,4154.14513731
17872,795.544462442,757.346185446,1552.89064789
17873,1256.23590684,5395.08552194,6651.32142878
17874,1391.81372738,2196.09900069,3587.91272807
17875,729.081611633,5176.87494683,5905.95655847
17876,163.759616852,4366.40021706,4530.15983391
17877,76.475730896,5761.38421488,5837.85994577
17878,1207.2852087,877.969658136,2085.25486684
17879,594.585331678,720.910897493,1315.49622917
17880,1506.83260441,3390.53314567,4897.36575007
17882,2334.85024619,1253.63414478,3588.48439097
17885,3671.90903211,1342.93239021,5014.84142232
17886,1894.2493279,1281.31044722,3175.55977511
17887,3837.4377265,5374.95947528,9212.39720178
17888,5383.5754168,4427.92783356,9811.50325036
17889,982.112538815,3054.8440063,4036.95654511
1789,30.1726026535,10.0575342178,40.2301368713
17891,1495.101753,2235.37688661,3730.4786396
17892,2265.35499859,1270.75827527,3536.11327386
17893,586.306910992,717.289486408,1303.5963974
17894,887.946270466,980.582129955,1868.52840042
17895,2646.96612668,1951.14382458,4598.10995126
17896,488.704118729,326.555914879,815.260033607
17897,472.532372475,2375.65971351,2848.19208598
17898,3247.50717044,2362.19027853,5609.69744897
17901,5030.8085382,7881.17140794,12911.9799461
17902,4080.3355732,2946.99816823,7027.33374143
17903,1370.42365837,3139.16822457,4509.59188294
